"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"255",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1934,"United States of America","Colorado","81de3021-bc06-4f83-ac27-6e619a4963fc","PBRU00043553"
"256",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1934,"United States of America","Colorado","9de425e0-4025-47b2-9f2c-628f567860c5","PBRU00045410"
"257",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1934,"United States of America","Colorado","d9135853-7ff4-4b78-8264-5dd2fbc3951d","PBRU00043554"
"259",6,0,"Hydrophyllaceae","Hydrophyllaceae","Hesperochiron","Hesperochiron pumilus",1915,"United States of America","Nevada","370e6ebb-59ec-4efd-ad12-96a0359451fd","PBRU00041688"
"267",6,0,"Hydrophyllaceae","Hydrophyllaceae","Nemophila","Nemophila breviflora",1902,"Canada","British Columbia","b04455a7-caba-4e48-a626-5ea9ee2525da","PBRU00044795"
"271",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia linearis",1900,"United States of America","Montana","41fb3add-5663-4e52-ae6a-36fc11494f68","PBRU00043573"
"272",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia linearis",1900,"United States of America","Montana","d10f7118-beb7-40e3-8f00-4a3eff059ecb","PBRU00043571"
"273",6,0,"Hydrophyllaceae","Hydrophyllaceae","Hesperochiron","Hesperochiron pumilus",1899,"United States of America","Oregon","3a7cbece-1ea9-4df2-9cd3-cd8c95233de1","PBRU00041690"
"275",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia linearis",1899,"United States of America","Montana","709f1f92-d25a-4b6e-a96a-d0e07f845aa1","PBRU00043572"
"280",6,0,"Hydrophyllaceae","Hydrophyllaceae","Nemophila","Nemophila breviflora",1898,"United States of America","Oregon","036240c3-108a-4506-998e-30733ec5fd53","PBRU00044796"
"283",6,0,"Hydrophyllaceae","Boraginaceae","Phacelia","Phacelia heterophylla",1898,"United States of America","New Mexico","4b41da15-7e96-4400-93eb-befa6f1d1cd1","PBRU00043551"
"284",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1898,"United States of America","Washington","6332535c-3985-4aa7-bdaa-55078d237847","PBRU00043558"
"286",6,0,"Hydrophyllaceae","Hydrophyllaceae","Hesperochiron","Hesperochiron pumilus",1897,"United States of America","Oregon","fd24e6df-77d6-4252-8a3a-f99e40656ecd","PBRU00041691"
"287",6,0,"Hydrophyllaceae","Boraginaceae","Hydrophyllum","Hydrophyllum capitatum",1897,"United States of America","Oregon","15d3ea8f-4253-47d7-88ff-b3c2018781f1","PBRU00045627"
"292",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1897,"United States of America","Oregon","87b829af-775e-47ce-9bae-b8d2f3ec6f5a","PBRU00045403"
"296",6,0,"Hydrophyllaceae","Boraginaceae","Hydrophyllum","Hydrophyllum capitatum",1896,"United States of America","Idaho","9a51be6b-d05d-4e8d-a978-4deac35c98c1","PBRU00045626"
"299",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia linearis",1896,"United States of America","Idaho","05d05518-c3df-4a7c-b894-f0ee6c01c7e6","PBRU00043574"
"300",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia franklinii",1896,"Canada","Saskatchewan","0653eb88-b394-40f0-9315-624b78cf5026","PBRU00043297"
"301",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia heterophylla",1896,"United States of America","Idaho","a7a0c6b2-2916-4a7f-b4a9-04b9fc364c27","PBRU00043557"
"307",6,0,"Hydrophyllaceae","Boraginaceae","Ellisia","Ellisia nyctelea",1887,"United States of America","Missouri","525e4387-8680-4637-a657-2f841312833e","PBRU00042213"
"315",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1883,"United States of America","Colorado","66efc853-c302-409a-b279-abb3e4690b72","PBRU00045411"
"320",6,0,"Hydrophyllaceae","Hydrophyllaceae","Hesperochiron","Hesperochiron pumilus",1881,"United States of America","Washington","31ca5a1c-18da-4295-aaf1-e73bc7198763","PBRU00041689"
"327",6,0,"Hydrophyllaceae","Boraginaceae","Hydrophyllum","Hydrophyllum capitatum",1880,"United States of America","Oregon","b276547b-fea1-48b1-a1f4-154dd91dc614","PBRU00045625"
"338",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1878,"United States of America","Illinois","1c98b483-e325-4a52-95cd-a2cd7059f503","PBRU00042127"
"377",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1872,"United States of America","Illinois","360b33c5-161c-428f-837b-fb935e9ddf6a","PBRU00042129"
"378",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1872,"United States of America","Illinois","8f8bf0fa-00eb-4a82-819f-ae046698964c","PBRU00042128"
"384",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1872,"United States of America","Colorado","53962be4-5bd0-4f17-9073-b159c4eef6b8","PBRU00045405"
"389",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1872,"United States of America","Colorado","c06c0ae7-ef68-43f1-b739-d7065b974e18","PBRU00045407"
"391",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1871,"United States of America","Illinois","8225592e-17bc-43d4-a149-57f197d046eb","PBRU00042133"
"392",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1871,"United States of America","Pennsylvania","b8993ae9-8c88-4ade-b8d6-aeaa20b068c1","PBRU00042125"
"397",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",1870,"United States of America","Illinois","6457136a-94df-459a-95e7-96d293e77405","PBRU00042132"
"411",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1868,"United States of America","Colorado","91e0da9a-7c88-415e-92c6-e04f44dfcf38","PBRU00045409"
