ids,class,match,multiple_matches,pattern_match,uri
955082,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955082
500072,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500072
22319,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22319
896813,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896813
897496,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897496
42613,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42613
500035,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500035
500062,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500062
955066,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955066
24091,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24091
896983,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896983
822469,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=822469
29192,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=29192
39094,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39094
955079,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=955079
20497,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=20497
897494,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897494
38981,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=38981
500068,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=500068
27978,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=27978
28650,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28650
39213,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39213
21366,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21366
35402,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=35402
896869,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=896869
18214,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=18214
42382,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=42382
19017,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=19017
846637,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=846637
834075,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=834075
846638,tsn,found,TRUE,TRUE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=846638
39095,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=39095
897318,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=897318
22247,tsn,found,FALSE,FALSE,https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=22247
